id;tokenable_type;tokenable_id;name;token;abilities;last_used_at;created_at;updated_at
1;depot thankfully;31228;chart;where fair axe;crazy;2024-03-02T19:00:59;2024-03-02T18:02:20;2024-03-02T18:42:23
2;divider;11324;gruesome soldier;scaly bore;whether huzzah;2024-03-03T01:57:42;2024-03-03T06:02:28;2024-03-02T19:41:48
3;gosh;11148;aw;wherever coaxingly;steep tread;2024-03-02T08:44:08;2024-03-02T17:05:24;2024-03-02T13:10:53
4;ouch stair inexperienced;11109;sack;idea succeed slider;nor;2024-03-03T06:16:03;2024-03-02T17:29:54;2024-03-02T10:54:43
5;before absent dynamite;31966;upside-down rice;gateway inasmuch upon;twilight wherever;2024-03-02T20:38:32;2024-03-02T22:02:28;2024-03-03T06:57:06
6;quick-witted well;32758;rarely;like but gosh;seldom intensely keyboarding;2024-03-02T18:22:27;2024-03-02T11:21:26;2024-03-02T20:40:04
7;between or muddy;31046;heifer than next;per scientist;conspirator if greedy;2024-03-02T23:29:11;2024-03-02T15:33:51;2024-03-02T21:30:11
8;whoa;29883;authorise;stink;whereas groom;2024-03-02T15:01:03;2024-03-02T13:21:23;2024-03-02T12:58:03
9;pleasant glum besiege;23592;capital hm;expostulate but fence;aha;2024-03-02T23:19:49;2024-03-02T22:15:55;2024-03-02T17:41:12
10;dissent;14724;surpass why;hence;elegantly art;2024-03-02T17:06:49;2024-03-03T00:41:59;2024-03-02T17:34:20
